No.,TITLE,AUTHOR,ACCESSION NO.,CALL NUMBER,DATE ACQUIRED,Summary,Keywords,General_Category,Sub_Category,Like,Dislike
10,American English for Filipinos,"Bennett, Terry",813634 pl,PL425 B439a 2005,8-May-06,"'American English for Filipinos' by Terry Bennett is a practical guide designed to help Filipino speakers improve their proficiency in American English. The book addresses common linguistic challenges faced by Filipinos, offering exercises and tips tailored to their unique language background. It covers aspects like pronunciation, vocabulary, and idiomatic expressions, aiming to enhance communication skills for personal and professional growth.","American English, Filipinos, pronunciation, vocabulary, communication",Non-Fiction,Educational,18,19
11,Mga anak ng tangway sa rebolusyong pilipino,"Calairo, Emmanuel",601875 pl,KH 959.91421 C125a 1996,,"""Mga Anak ng Tangway sa Rebolusyong Pilipino"" by Emmanuel Calairo delves into the roles and contributions of the people from the peninsula during the Philippine Revolution. The book offers a detailed historical account, highlighting the collective and individual efforts of local heroes and communities in the fight for independence against colonial forces. Through extensive research and narrative storytelling, Calairo sheds light on lesser-known aspects of the revolution, emphasizing the regional dynamics and the patriotic fervor of the Filipinos in this crucial period.","Philippine Revolution, independence, local heroes, colonial forces, regional dynamics",History,History,12,19
12,Si Andres Bonifacio at ang kabayanihan ng Pilipino,"Salazar, Z.A.",603221/599830pl,KH959.9026 Sa 14a 1997,,"""Si Andres Bonifacio at ang Kabayanihan ng Pilipino"" by Z.A. Salazar explores the life and contributions of Andres Bonifacio, a key figure in the Philippine Revolution against Spanish colonial rule. The book delves into his leadership in the Katipunan, his vision for Philippine independence, and his enduring legacy as a national hero. It highlights the spirit of heroism and nationalism that Bonifacio embodied, inspiring future generations of Filipinos.","Andres Bonifacio, Katipunan, Philippine Revolution, nationalism, heroism",History,History,14,12
13,An anthology of short stories for reflection,,545628 pl,KH899.210301 An86 1955,,"""An Anthology of Short Stories for Reflection"" is a collection of thought-provoking tales that delve into the complexities of the human experience. Each story invites readers to ponder life's profound questions, exploring themes such as love, loss, identity, and morality. Through diverse narratives and perspectives, the anthology encourages introspection and offers insights into the human condition.","reflection, humanity, introspection, identity, morality",Fiction,Literary Fiction,8,7
14,An anthology of winning works short story,Don Carlos Palanca,708232 pl,KH 899.2103 D714a 2000,21-May-01,"""An Anthology of Winning Works: Short Story"" by Don Carlos Palanca is a collection of acclaimed short stories that have been recognized for their excellence in storytelling. The anthology showcases a diverse range of narratives, each offering unique perspectives and insights into the human experience. The stories are celebrated for their creativity, emotional depth, and cultural significance, representing the pinnacle of literary achievement in short fiction.","anthology, short stories, award-winning, diverse, literary",Fiction,Fiction,13,18
15,An anthology of winning works: One Act Play,Don Carlos Palanca,708430 pl,KH 899.2102 D714a 2000,21-May-01,"""An Anthology of Winning Works: One Act Play"" by Don Carlos Palanca is a collection that showcases a diverse array of one-act plays that have won the prestigious Palanca Awards. The anthology celebrates the creativity and talent of Filipino playwrights, presenting a variety of themes and narratives that reflect the cultural, social, and personal dimensions of Filipino life. Each play encapsulates a unique story, offering insight into the playwrights' perspectives and the vibrant tapestry of Philippine theater.","anthology, one-act plays, Filipino, Palanca Awards, theater",Fiction,Drama,13,5
16,The anthology of winning works: poetry,Don Carlos Palanca,708704 pl,KH 899.2101 D714a 2000,21-Mar-01,"""The Anthology of Winning Works: Poetry"" by Don Carlos Palanca is a collection that showcases the finest poetry recognized by the prestigious Palanca Awards. This anthology celebrates the rich diversity of themes and styles found in contemporary Philippine poetry, highlighting the voices of both emerging and established poets. Through a wide range of topics, the collection captures the essence of Filipino identity, cultural heritage, and the human experience.","poetry, anthology, Palanca Awards, Filipino, identity",Fiction,Poetry,11,15
18,Anti-graft guide book,"Ursal, Sofronio",812952/826647pl,Pl364.1323 Ur7a 2006,8-May-06,"""Anti-graft Guide Book"" by Sofronio Ursal is a comprehensive manual aimed at combating corruption. The book provides practical strategies and insights for identifying, preventing, and addressing corrupt practices in both public and private sectors. Ursal draws on a wealth of experience and case studies to offer actionable solutions for fostering transparency and integrity.","corruption, prevention, transparency, integrity, strategies",Non-Fiction,Non-Fiction,10,16
1316,Pagkamakabuhay on the side of life,"Miranda, Dionisio",4362kh,KH174.9574 M588p 1994,6-Jun-97,"""Pagkamakabuhay on the Side of Life"" by Dionisio Miranda explores the concept of life from a philosophical and cultural perspective, examining the values and principles that shape a meaningful existence. Through a blend of personal reflections and cultural analysis, the book delves into themes of identity, purpose, and the human condition, encouraging readers to reflect on their own lives and the broader societal influences that impact them.","philosophy, culture, identity, purpose, existence",Spiritual,Philosophy,13,20
20,Araw ng mga Puso,"Bautista, Lualhati",527908 pl,Khfic B328a 1994,,"""Araw ng mga Puso"" by Lualhati Bautista explores themes of love, family, and societal expectations in the Philippines. The story follows a young protagonist navigating the complexities of relationships and personal growth amidst cultural traditions and pressures, ultimately finding strength in self-discovery and emotional resilience.","love, family, relationships, culture, self-discovery",Fiction,Fiction,16,20
21,As I see it: Filipinos and the Philippines,"Castrence,Pura",815849 pl,PL959.9 C279 2006,8-May-06,"""As I See It: Filipinos and the Philippines"" by Pura Castrence is a reflective examination of Filipino society and culture. The book offers insightful commentary on the country's history, politics, and social dynamics, emphasizing the complexities and challenges faced by the nation. Through a series of essays, Castrence provides a personal yet critical perspective on the identity and aspirations of the Filipino people.","Filipinos, Philippines, culture, history, society",Non-Fiction,Non-Fiction,19,17
22,Assassinations & conspiracies,Martinez Manuel,764090/763915pl,PL364.1524 M366a 2002,25-Oct-04 & 21-Nov-03,"""Assassinations & Conspiracies"" by Martinez Manuel delves into the shadowy world of political intrigue and covert operations. The book meticulously examines historical assassinations and the conspiracies surrounding them, offering insights into the motives, methods, and impacts of these clandestine acts. Through a detailed analysis of major events, the author explores the hidden forces and secret alliances that have shaped world history.","assassinations, conspiracies, political intrigue, covert operations, historical analysis",History,Non-Fiction,11,7
23,The aswang inquiry,"Lynch, Frank",614785 pl,KH398.2 L989a 1998,,"""The Aswang Inquiry"" by Frank Lynch explores the folklore and cultural significance of the aswang, a mythical creature in Filipino folklore known for its shape-shifting and sinister nature. Through a blend of ethnographic research and narrative storytelling, Lynch delves into the beliefs, fears, and societal roles associated with the aswang, providing insights into how these myths reflect and influence Filipino culture and identity.","aswang, folklore, mythology, Filipino culture, ethnography",Non-Fiction,Non-Fiction,8,17
24,Atlas of the Philippines,,735900/736049pl,KH912.599 Ar652001,21-Nov-01 & 21-Nov-03,"""Atlas of the Philippines"" offers a comprehensive exploration of the Philippines through detailed maps and informative commentary. It covers the geographic, cultural, and historical aspects of the country, providing readers with insights into its diverse landscapes, rich heritage, and dynamic regions. The book serves as an essential resource for understanding the natural and cultural complexities of the Philippines.","Philippines, maps, geography, culture, history",Non-Fiction,Reference,14,5
25,Authentic though not exotic: essay on Filipino Identitity,"Zialcita, Fernando",814440 pl,PL305.89921 Z61a,8-May-06,"""Authentic Though Not Exotic: Essay on Filipino Identity"" by Fernando Zialcita explores the complex nature of Filipino identity, challenging the stereotypes and simplified narratives often associated with Filipino culture. Zialcita delves into historical, cultural, and social influences that have shaped the Filipino identity, emphasizing the importance of understanding and appreciating its richness beyond exoticized perceptions. The book encourages a deeper reflection on what it means to be Filipino in a modern context, advocating for an authentic representation that acknowledges its diverse influences.","Filipino identity, culture, authenticity, stereotypes, diversity",Non-Fiction,Non-Fiction,12,18
26,Awit kay inang bayan,"Dery, Luis",781312 pl,PL899.211109358 D449a 2003,25-Oct-04,"""Awit kay inang bayan"" by Luis Dery is a historical exploration of the Philippines, delving into the country's rich cultural heritage and the struggles for independence. The book reflects on the nation's colonial history, its heroes, and the enduring spirit of the Filipino people. Through a blend of historical narrative and cultural analysis, Dery pays homage to the motherland and its journey toward sovereignty and self-identity.","Philippines, independence, colonial history, heritage, nationalism",History,History,5,11
27,Ang babae sa basag na salamin,"Bautista, Lualhati",528109 pl,KH Fic B329b 1994,,"""Ang babae sa basag na salamin"" by Lualhati Bautista delves into the complex inner world of a woman grappling with her identity, societal expectations, and personal struggles. The narrative explores themes of self-discovery, resilience, and the quest for empowerment amidst challenges. Through a poignant portrayal of her protagonist, Bautista sheds light on the multifaceted experiences of women, reflecting both their vulnerabilities and strengths.","identity, empowerment, resilience, women, self-discovery",Fiction,Fiction,15,10
28,Ang bagong kong kalaro (My new playmate),"Garlitos, Rhandee",885847 pl,PL899.211301 G184b20b,17-Apr-15,"""Ang bagong kong kalaro (My new playmate)"" by Rhandee Garlitos is a heartwarming children's story that explores themes of friendship, acceptance, and understanding. It follows the journey of a young child who meets a new playmate and learns about the importance of embracing differences and building connections with others.","friendship, acceptance, playmate, understanding, differences",Children,Children'S Literature,18,14
29,Ang bagong lumipas I-ll,"Constantino, Renato",605280/605530pl,KH959.9 C766b ,,,,Fiction,,5,5
30,Balalong: Mga kasabihang bikolnon,"Bersabe, Philip Fr.",825471 pl,PL398.9992122 B466 2005,24-Jan-08,"This book explores the rich tapestry of Bikolnon culture through an extensive collection of traditional proverbs. It provides insight into the wisdom, values, and social norms of the Bikol people. Each saying is accompanied by explanations and reflections on its significance and relevance in modern times.","Bikolnon, proverbs, culture, wisdom, traditions",Non-Fiction,Folklore,8,5
31,Bandoleros: outlawed guerillas of the Philippines,"Ochosa, Orlino",604156 pl,KH959.9032092 Oc3b1995,,"""Bandoleros: Outlawed Guerillas of the Philippines"" by Orlino Ochosa delves into the history and impact of bandoleros, or outlawed guerillas, in the Philippines. The book examines their role during the turbulent periods of Spanish and American colonization, the socio-political factors that led to their emergence, and their influence on Philippine resistance movements. Ochosa provides a detailed account of these guerillas' lives, their struggles for justice and freedom, and their enduring legacy in Filipino history.","bandoleros, guerillas, Philippines, colonization, resistance",History,History,10,15
32,Banyuhay ni Lam-ang,"Landicho, Domingo G.",869826 pl,PL899.211103 L234b 2010,8-Dec-10,"""Banyuhay ni Lam-ang"" by Domingo G. Landicho is a reinterpretation of the classic Ilocano epic ""Biag ni Lam-ang."" The novel explores the life and adventures of the legendary hero Lam-ang, blending traditional folklore with contemporary themes. It delves into Lam-ang's journey of self-discovery, his battles against formidable foes, and his quest for identity and purpose. The narrative is rich with cultural elements and reflects the resilience and spirit of the Filipino people.","Lam-ang, folklore, epic, heroism, identity",Fiction,Fiction,11,7
33,Bar review: material in commercial law,"Marvite, Jorge",651769 pl,KH347.7 M673b1998,13-May-99,"""Bar Review: Material in Commercial Law"" by Jorge Marvite is a comprehensive guide designed to aid law students and bar exam candidates in understanding the intricate aspects of commercial law. The book covers essential topics such as contracts, sales, secured transactions, and negotiable instruments, providing clear explanations and practical examples to facilitate learning and retention. Its structured approach and focus on key legal principles make it an invaluable resource for anyone preparing for the bar exam or seeking to deepen their knowledge of commercial law.","commercial law, contracts, bar exam, secured transactions, negotiable instruments",Law,Legal,6,17
34,The barangay secretary guide book first edition,,740202 pl,KH352.0093 P538bs2000,21-Nov-02,"""The Barangay Secretary Guide Book First Edition"" serves as a comprehensive manual for barangay secretaries, offering practical guidance on administrative tasks, governance, and community engagement. It provides detailed instructions on managing records, facilitating meetings, and understanding local government protocols, making it an essential resource for efficient barangay administration.","barangay, administration, governance, community, guide",Non-Fiction,Non-Fiction,13,8
35,The barangay treasurer guide book first edition,,740253 pl,KH 52.0093 P538bt 2000,21-Nov-06,"""The Barangay Treasurer Guide Book First Edition"" serves as a comprehensive manual for barangay treasurers in the Philippines, outlining their roles and responsibilities in managing local government funds. It provides guidelines on financial management, budgeting, and reporting, aiming to ensure transparency and accountability in local governance. The guidebook also includes practical tips and legal references to assist treasurers in effectively performing their duties.","barangay, treasurer, financial management, local government, accountability",Non-Fiction,Non-Fiction,12,17
36,Barlaan at Josaphat,"Virgilio, Almario",778890 pl,KH899.21130942 V522b 2003,25-Oct-04,"""Barlaan at Josaphat"" by Virgilio Almario is a retelling of a classic story that traces the spiritual journey of Prince Josaphat, who encounters Barlaan, a hermit, and is introduced to the teachings of Christianity. Set against the backdrop of a kingdom resistant to change, the narrative explores themes of faith, enlightenment, and the transformative power of belief as Josaphat grapples with the challenges of renouncing worldly pleasures in pursuit of spiritual fulfillment.","faith, enlightenment, transformation, Christianity, spirituality",Spiritual,Religion,10,16
37,Ang barumbadong bus,"Villanueva, Rene O.",744347 pl,KH 499.21186 V712b 2001,21-Nov-02,"""Ang Barumbadong Bus"" by Rene O. Villanueva is a children's book that tells the story of a mischievous and unruly bus causing trouble as it goes about its daily route. The narrative highlights themes of discipline, responsibility, and the importance of following rules, all conveyed through engaging storytelling and vivid illustrations that capture the imagination of young readers.","bus, mischief, discipline, children's story, responsibility",Children,Children'S Literature,15,17
38,"Basic Facts about the United Nations, c1995",,611840/611897pl,KH341.23 B292 1995,13-May-99,"""Basic Facts about the United Nations, c1995"" offers a comprehensive overview of the United Nations, detailing its history, structure, and functions. The book serves as an informative guide to understanding the organization's role in global governance, peacekeeping efforts, humanitarian aid, and international law. It also covers the UN's specialized agencies and programs, emphasizing its impact on world affairs and the challenges it faces in promoting international cooperation and development.","United Nations, global governance, peacekeeping, international law, cooperation",Non-Fiction,Non-Fiction,19,6
39,Basic foods for Filipinos,,797787 pl,PL 641.3 B292 1999,8-May-06,"""Basic Foods for Filipinos"" is a culinary guide that introduces readers to the traditional and essential foods of the Philippines. It covers a variety of staple ingredients and classic recipes that form the backbone of Filipino cuisine. The book provides insights into the cultural significance of these foods and offers practical tips for preparing authentic Filipino dishes at home.","Filipino cuisine, traditional recipes, staple ingredients, culinary guide, cultural significance",Culinary,Culinary ,18,8
40,Batac: cradle of eminent men and women,,707962/707720pl,KH 959.911372 B31 2000,21-Mar-01,"""Batac: Cradle of Eminent Men and Women"" explores the rich history and cultural significance of Batac, a city in the Philippines known for producing influential figures in various fields. The book delves into the lives and contributions of these prominent individuals, highlighting their impact on both local and national levels. Through detailed narratives and historical accounts, the book celebrates Batacâ€™s legacy of leadership, innovation, and excellence.","Batac, history, eminent figures, Philippines, legacy",History,Non-Fiction,20,15
41,Ang batang may maraming bahay,"Gojo Cruz, Genaro R.",866067pl,PL899.211301 6561b 2013,17-Apr-15,"""Ang Batang May Maraming Bahay"" is a children's book that explores themes of family, diversity, and belonging. It follows the story of a young child who experiences living in multiple homes, each offering unique experiences and lessons. Through colorful illustrations and engaging narrative, the book highlights the idea that home is not just a physical space but also the love and connection shared with loved ones.","family, diversity, belonging, homes, love",Children,Children'S Literature,19,18
42,Ang batang nanaginip na siya'y nakakalipad,"Maranan, E. B.",878810pl,KH372.4 M325b 2007,23-Nov-12,"""Ang Batang Nanaginip na Siya'y Nakakalipad"" by E. B. Maranan tells the enchanting story of a young child who dreams of flying. Through vivid dreams, the child explores a world of imagination and possibilities, finding freedom and self-discovery. The narrative gently encourages readers to dream big and pursue their aspirations, regardless of the challenges they may face.","dreams, flying, imagination, self-discovery, aspirations",Fiction,Children'S Literature,8,6
43,Ang batang nanaginip na siya'y nakakalipad,"Maranan, E. B.",878810 pl,KH372.4 M325b 2007,23-Nov-12,,,Fiction,,5,17
44,Ang batang nangarap maging isda: mga tula,"Carcamo, Ronald",833389 pl,PL899.211 C177b 2006,23-Jan-09,"""Ang Batang Nangarap Maging Isda: Mga Tula"" by Ronald Carcamo is a poignant collection of poems that explores themes of dreams, identity, and transformation. Through vivid imagery and lyrical language, the author delves into the inner world of a child who yearns to transcend human limitations by becoming a fish. The poems reflect on the innocence of childhood dreams and the deeper longing for freedom and self-discovery.","dreams, identity, transformation, childhood, freedom",Fiction,Poetry,6,20
45,Becoming a winner,"Roldan, Amelia",782952 pl,PL158.1 R643b 2003,25-Oct-04,"""Becoming a Winner"" by Amelia Roldan is a motivational guide that explores the mindset and strategies necessary for achieving personal and professional success. Through a combination of real-life examples, practical advice, and motivational insights, Roldan empowers readers to overcome obstacles, set and achieve goals, and cultivate a winning attitude. The book emphasizes the importance of resilience, self-belief, and continuous growth in the journey to success.","success, mindset, resilience, goals, motivation",Non-Fiction,Self-Help,20,14
46,Be Hands On! Inspiring Volunteer stories,Hands on Mla. Foundation Inc.,872135 pl,PL361.37 H192b 2008,1-Dec-10,"""Be Hands On! Inspiring Volunteer Stories"" by Hands On Mla. Foundation Inc. is a collection of compelling narratives that highlight the transformative power of volunteering. It showcases the experiences of diverse individuals who have dedicated their time and effort to make a positive impact in their communities. Through these stories, the book emphasizes the importance of volunteerism and encourages readers to become active participants in creating meaningful change.","volunteering, community, impact, inspiration, change",Non-Fiction,Non-Fiction,11,20
47,Ben Singkol,Jose F. Sionil,720622/720725pl,KH 899.2103 J772b 2001,21-Nov-02 /  16-Nov-01,"""Ben Singkol"" by Jose F. Sionil is a novel that delves into the life of Benjamin ""Ben"" Singkol, a Filipino writer burdened by guilt and shame over his actions during the Japanese occupation of the Philippines. As he reflects on his past, the narrative explores themes of identity, redemption, and the personal and national traumas of war. Through Ben's introspection, the novel examines the complexities of human nature and the struggle for self-forgiveness.","identity, war, redemption, guilt, introspection",Fiction,History,8,20
48,Between fires,"Daronila, Amando",758168/758238pl,KH 959.9059 B466 2001,21-Nov-03 & 25-Oct-04,"""Between Fires"" by Amando Daronila is a compelling account of the political landscape in the Philippines during the tumultuous period of the 1980s and 1990s. It delves into the transitions and upheavals that shaped the nation's governance, focusing on the challenges faced by leaders and the impact of these changes on the Filipino people. Daronila provides an in-depth analysis of the key political events and figures, offering insights into the complexities of power and democracy in the Philippines.","Philippines, politics, transitions, democracy, governance",Politics,Non-Fiction,9,18
49,The Bicol blend and their history,"Owen, Norman",674573/674574pl,KH 959.915 Ow2b 1998,17-Apr-01,"""The Bicol Blend and Their History"" by Norman Owen explores the rich cultural tapestry and historical evolution of the Bicol region in the Philippines. The book delves into the area's ethnic diversity, social structures, and economic development, highlighting the unique blend of indigenous and colonial influences that have shaped its identity over time. Through a detailed examination of historical records and cultural practices, Owen provides a comprehensive narrative of Bicol's past and its impact on contemporary society.","Bicol, Philippines, history, culture, diversity",History,History,18,16
1594,Songs of ourselves: writing by Filipino women in…,,2571kh,KH899.21 So58 1994,,"""Songs of Ourselves: Writing by Filipino Women"" is a collection that showcases the diverse voices and experiences of Filipino women writers. The anthology features a variety of literary forms, including poetry, essays, and short stories, offering insights into themes such as identity, cultural heritage, gender, and social issues. Through personal and collective narratives, the book highlights the richness of Filipino women's contributions to literature and their unique perspectives on both local and global contexts.","Filipino women, identity, cultural heritage, literature, diversity",Fiction,Anthology,11,20
51,Ang binagong kodigo penal ng Pilipinas,"Paralejo, Cesar",685655 pl,KH 345.599 P538b 2000,6-Dec-00,"""Ang Binagong Kodigo Penal ng Pilipinas"" by Cesar Paralejo is an in-depth examination of the revised penal code in the Philippines. The book provides a comprehensive analysis of the laws, their implications, and how they have been updated to reflect contemporary legal standards. It serves as a crucial resource for legal professionals, students, and anyone interested in understanding the intricacies of Philippine criminal law.","penal code, Philippines, law, legal analysis, criminal law",Law,Legal,17,14
52,"Binisaya-English, English-Binisaya dictionary","Makabenta, Eduardo",782844 pl,KH (fil) 499.2188803 M289b,25-Oct-04,"The ""Binisaya-English, English-Binisaya Dictionary"" by Eduardo Makabenta is a comprehensive bilingual resource designed to facilitate translation and understanding between the Binisaya and English languages. It serves as a practical tool for language learners, students, and anyone interested in the linguistic and cultural exchange between English and the Binisaya-speaking regions, providing clear definitions, usage examples, and linguistic insights.","Binisaya, English, dictionary, translation, language",Other,Reference,9,15
53,"Bokabularyong Traylingguwal Kapampangan, Filipino- English",,864937pl,KH499.2173 B637 2004,10-Dec,"'Bokabularyong Traylingguwal Kapampangan, Filipino-English' is a comprehensive trilingual dictionary that serves as a linguistic resource for Kapampangan speakers and learners. It provides translations and definitions in Kapampangan, Filipino, and English, aiding in language preservation and promoting multilingual communication. The book is an essential tool for educators, students, and anyone interested in the Kapampangan language and culture.","Kapampangan, trilingual, dictionary, language, translation",Other,Reference,15,20
54,Bokabularyong Traylingguwal Maranao-Filipino-English,Komisyon sa wikang Filipino,865122pl,PL499.21826399211 K836b 2003,10-Dec,"""Bokabularyong Traylingguwal Maranao-Filipino-English"" is a comprehensive trilingual vocabulary resource developed by the Komisyon sa Wikang Filipino. The book serves as an essential tool for learners and speakers of the Maranao language, offering translations and definitions in both Filipino and English. It aims to promote linguistic diversity and facilitate better understanding and communication among speakers of these languages.","Maranao, Filipino, English, vocabulary, language",Other,Reference,6,9
55,Bonifacio's Bolo,"Ocampo, Ambeth",597261 pl,KH 899.2102 Oc1b 1995,,"""Bonifacio's Bolo"" by Ambeth Ocampo delves into the life and legacy of Andres Bonifacio, a pivotal figure in the Philippine Revolution against Spanish colonial rule. The book challenges popular myths and misconceptions, offering a nuanced portrait of Bonifacio as both a revolutionary leader and a man. Through meticulous research and engaging storytelling, Ocampo provides insights into the historical and cultural context of the era, shedding light on Bonifacio's contributions and the symbolism of his iconic bolo in the fight for independence.","Bonifacio, Philippine Revolution, independence, history, symbolism",History,Non-Fiction,5,8
56,Bonifacios Unfinished Revolution,"Villanueva, Alejo Jr.",633642/603849pl,KH 959.9026 B641v 1989,13-May-99,"""Bonifacio's Unfinished Revolution"" by Alejo Villanueva Jr. delves into the life and legacy of Andres Bonifacio, a pivotal figure in Philippine history who played a crucial role in the fight for independence from Spanish colonial rule. The book explores Bonifacio's revolutionary ideals, his vision for the nation, and the challenges he faced, highlighting the unfinished aspects of his struggle for true freedom and equality in the Philippines.","Andres Bonifacio, revolution, Philippine independence, colonialism, legacy",History,History,10,16
57,Book of world records natural world,,852435/852447/852467 pl,PL508 B644 2008,29-Jun-11,"""Book of World Records: Natural World"" is a fascinating collection of astonishing achievements and phenomena from the natural world. It covers a wide range of topics, from the tallest trees to the fastest animals, and features both common and rare species. The book provides readers with a deeper appreciation of the diversity and wonder of nature, showcasing incredible feats of endurance, speed, and adaptation.","records, nature, diversity, wildlife, phenomena",Non-Fiction,Reference,5,20
58,Botanical Beauty book: compendium of cosmetic Uses,"Rummel, Dietmar J.",880161 pl,PL615.321 R865b 2005,24-Sep-13,"""Botanical Beauty Book: Compendium of Cosmetic Uses"" by Dietmar J. Rummel is a comprehensive guide that explores the use of plants and natural ingredients in beauty and skincare. The book delves into the historical, cultural, and scientific aspects of botanical cosmetics, offering practical advice on creating natural beauty products at home. It highlights the benefits of using plant-based ingredients for skincare and provides recipes for a variety of homemade treatments.","botanical, cosmetics, skincare, natural, DIY",Culinary,Non-Fiction,20,17
59,Breaking Through: struggle within the communists party in the Philippines,"Rocampra, Joel",624963 pl,KH 320.53209539 R58b 1994,13-May-99,"""Breaking Through"" by Joel Rocampra delves into the internal conflicts and power struggles within the Communist Party of the Philippines. The book provides an in-depth analysis of the ideological divisions and leadership challenges that have shaped the party's trajectory. Through a detailed narrative, Rocampra sheds light on the complex dynamics and personal stories of key figures, offering a comprehensive understanding of the party's evolution and its impact on Philippine society.","Communism, Philippines, internal conflict, leadership, ideology",History,Non-Fiction,9,6
60,The bridge-builder of chiayi country,"Tan, Emma",878874 pl,KH624.20951249,12-Nov,"""The Bridge-Builder of Chiayi Country"" by Emma Tan is a captivating tale set in Taiwan, where a determined woman seeks to unite her community through the construction of a much-needed bridge. As she navigates cultural traditions, societal expectations, and personal struggles, the protagonist's journey highlights themes of resilience, community spirit, and the power of unity in overcoming obstacles.","community, resilience, unity, Taiwan, tradition",Non-Fiction,History,13,10
61,Broilers:Animal production,,741912 pl,KH636.5T226b 1991,22-Nov-02,"'Broilers: Animal Production' delves into the intricacies of broiler chicken farming, covering aspects such as breeding, nutrition, health management, and housing systems. The book provides insights into optimizing production efficiency while ensuring animal welfare and sustainability in the poultry industry.","broilers, poultry, farming, animal welfare, sustainability",Non-Fiction,Non-Fiction,20,12
62,Brown Americans of Asia,"Perdon, Renato",828539 pl,PL305.89921094 P412b 2007,23-Jan-09,"""Brown Americans of Asia"" by Renato Perdon explores the shared history and cultural connections between Filipinos and Americans, highlighting the Filipino diaspora in the United States. The book delves into the experiences and contributions of Filipinos in America, examining issues of identity, assimilation, and the impact of American colonial history on Filipino culture and society.","Filipinos, diaspora, identity, assimilation, colonial history",Non-Fiction,Non-Fiction,17,18
