"id","TITLE","AUTHOR","ACCESSION NO.","CALL NUMBER","DATE ACQUIRED","SUMMARY","KEYWORDS","General_Category","Sub_Category","cover_image_url","Like","Dislike","date_added","status"
"13","115 saintly fun facts: daring deeds, heroic happenings",,"4482kh","KH291.092 Sn92o 1995","5-Nov-98","115 saintly fun facts: daring deeds, heroic happenings offers an engaging exploration of remarkable stories from the lives of saints. the book presents intriguing anecdotes and lesser-known facts about the daring deeds and heroic acts of various saints, aiming to inspire readers with their courage and virtue. it combines historical insights with captivating storytelling to celebrate the extraordinary lives of these holy figures.","Saints, Courage, Heroic, Anecdotes, Virtue","Non-Fiction",,"assets/Non-Fiction.png","33","11","0000-00-00","available"
"14","15 lamang","nadera, vim","3722kh","KH899.211 N125l 1994",,"""15 Lamang"" by Vim Nadera is a poignant exploration of the human psyche and societal issues, woven through a collection of stories or essays that reflect on themes such as love, loss, and resilience. The narrative delves into the complexities of everyday life, offering insights into the Filipino experience and cultural nuances. With a blend of introspection and social commentary, Nadera crafts a compelling read that resonates with readers through its emotional depth and authenticity.","Filipino culture, love, loss, resilience, societal issues","Fiction",,"assets/Fiction.png","12","11","0000-00-00","available"
"15","151 quick ideas to manage your time","dittmer, robert e.","827684pl","PL650.11 D639o 2006",,"151 quick ideas to manage your time by robert e. dittmer offers practical and actionable strategies to enhance time management skills. the book provides diverse array of tips and techniques ranging from prioritizing tasks and setting goals to minimizing distractions and delegating effectively. each idea is designed to be easily implemented, helping readers to boost productivity and achieve better work-life balance.","Time management, Productivity, Prioritizing, Delegating, Goal setting","Non-Fiction",,"assets/Non-Fiction.png","31","17","0000-00-00","available"
"16","18 plays","guerrero, wilfredo","560559/560762pl","KH 899.2112 G937e 1996",,"18 plays by wilfredo guerrero is collection of one-act plays that reflect the social and cultural landscape of the philippines. guerrero's work captures the nuances of filipino life, exploring themes of family, tradition, and societal change. the plays often combine humor with poignant social commentary, offering window into the daily struggles and triumphs of ordinary people.","Wilfredo Guerrero, Filipino culture, one-act plays, societal change, family themes","Fiction",,"assets/Fiction.png","11","20","0000-00-00","available"
"17","1898-1992: philippine presidency background, political","brilliantes, alex","4437kh","KH351.003131 B769e 1994",,"""1898-1992: Philippine Presidency Background, Political"" by Alex Brilliantes offers an in-depth exploration of the political landscape of the Philippines over nearly a century, from the country's independence struggles to the end of the 20th century. The book examines the evolution of the Philippine presidency, detailing the political, social, and economic factors that influenced the leadership and governance of various administrations. Through a comprehensive historical analysis, Brilliantes provides insights into the challenges and achievements of Philippine presidents, highlighting the complex interplay of local and international dynamics in shaping the nation's political history.","Philippine Presidency, independence struggles, political landscape, governance, historical analysis","History",,"assets/History.png","33","10","0000-00-00","available"
"18","1987 konstitusyon ng republika ng pilipinas","sibal, jose a.","3933kh","KH342.599 Si1n 1994",,"the book 1987 konstitusyon ng republika ng pilipinas by jose a. sibal provides comprehensive analysis and commentary on the 1987 constitution of the philippines. it delves into the historical context, key principles, and legal interpretations of the constitutional provisions that govern the country. the book serves as an essential resource for understanding the legal framework and democratic principles enshrined in the philippine constitution.","1987 constitution, Philippines, legal framework, democratic principles, historical context","Law",,"assets/Law.png","39","15","0000-00-00","available"
"19","1995 media directory of the philippines",,"3039kh","KH302.23025 N622 1995","4-Jun-97","the 1995 media directory of the philippines serves as comprehensive guide to the media landscape in the philippines during that year. it includes detailed listings of various media outlets, such as newspapers, magazines, radio stations, and television channels, along with key contact information and insights into the media industry's structure and operations in the country.","Philippines, media directory, newspapers, radio stations, television channels","Non-Fiction",,"assets/Non-Fiction.png","47","15","0000-00-00","available"
"20","1995 philippine government directory",,"3040kh","KH959.9 N622 1995","4-Jun-97","the 1995 philippine government directory provides an extensive listing of the various government offices, departments, and officials in the philippines as of 1995. it serves as comprehensive resource for understanding the organizational structure and key personnel involved in the governance of the country during that year.","Philippines, government, directory, 1995, officials","Non-Fiction",,"assets/Non-Fiction.png","11","20","0000-00-00","available"
"21","1995 world bk.: annual supplement to world book ency.",,"2850kh","KH030 N622 1995",,"the 1995 world book: annual supplement to world book encyclopedia offers comprehensive overview of significant global events and developments from the year 1994. it serves as an update to the world book encyclopedia, providing readers with current information across range of topics, including politics, science, culture, and technology, to ensure their reference material remains accurate and up-to-date.","1994 events, global developments, politics, science, technology","Non-Fiction",,"assets/Non-Fiction.png","30","13","0000-00-00","available"
"22","1997-98 bir rulings: digest, text index","ordono, eustaquio","682829 pl","KH343.59904 On12n 1999","6-Dec-00","the book 1997-98 bir rulings: digest, text index by eustaquio ordono provides comprehensive collection of rulings issued by the bureau of internal revenue bir in the philippines during the years 1997 and 1998. it includes digests and full texts of the rulings, along with an index for easy reference, making it valuable resource for tax professionals, legal practitioners, and researchers interested in philippine tax law and administration.","Philippines, tax law, BIR rulings, 1997-1998, legal reference","Law",,"assets/Law.png","42","20","0000-00-00","available"
"23","20 speeches that moved nation",,"763505 pl","PL809.935320 T918 2002","25-Oct-04","20 speeches that moved nation is compelling collection of transformative speeches that have significantly impacted the course of nation's history. this book highlights the power of words and how they can inspire change, unity, and progress. each speech is accompanied by context and analysis, offering insights into the historical moments and figures that shaped these pivotal addresses.","Speeches, History, Transformation, Inspiration, Analysis","History",,"assets/History.png","21","20","0000-00-00","available"
"24","20,000 leagues under the sea","verne, julkes","1366kh","KH808.899282 v594t 1994",,"20,000 leagues under the sea by jules verne is classic science fiction adventure novel that follows professor aronnax, his servant conseil, and canadian whaler ned land as they embark on journey aboard the submarine nautilus, commanded by the enigmatic captain nemo. as they travel through the world's oceans, they encounter fascinating marine life, discover underwater wonders, and confront various dangers, all while unraveling the mysteries surrounding nemo and the nautilus.","Submarine, Adventure, Captain Nemo, Marine life, Mystery","Fiction",,"assets/Fiction.png","31","19","0000-00-00","available"
"25","2008 our sunday visitors catholic almanac",,"859552 pl","PL282 T93 2008",,"2008 our sunday visitor's catholic almanac is comprehensive reference guide that provides insights into the catholic church's teachings, history, and current events as of 2008. it includes detailed information on catholic doctrine, liturgical practices, saints, and church hierarchy. additionally, the almanac offers statistical data, significant dates, and an overview of the church's global presence, making it valuable resource for anyone interested in catholicism.","Catholicism, Doctrine, Saints, Liturgical, Hierarchy","Non-Fiction",,"assets/Non-Fiction.png","34","12","0000-00-00","available"
"26","20th cen.supp. ency.of world biography vols. 13-16",,"947-950kh","KH920.003 Em19 1987","4/6/1997","the 20th century supplement encyclopedia of world biography vols. 13-16 is comprehensive reference work that provides detailed biographical information about influential figures from various fields who made significant contributions during the 20th century. spanning multiple volumes, this encyclopedia offers insights into the lives, achievements, and impacts of notable personalities from diverse backgrounds and disciplines, including politics, science, arts, and more.","biography, 20th century, influential figures, achievements, diverse backgrounds","Non-Fiction",,"assets/Non-Fiction.png","36","20","0000-00-00","available"
"27","20th century filipino artists","duldulao, manuel","475kh","KH709.9599 D887t 1993",,"20th century filipino artists by manuel duldulao offers an in-depth exploration of the vibrant and diverse landscape of filipino art throughout the 20th century. the book highlights the lives, works, and contributions of key filipino artists who have significantly influenced the country's cultural heritage. it delves into various art movements and the socio-political contexts that shaped the artistic expressions in the philippines during this period.","Filipino artists, 20th century, cultural heritage, art movements, socio-political contexts","Art & Media",,"assets/Art & Media.png","37","12","0000-00-00","available"
"28","21st century ref. dict. vol.1-2 m-z",,"2132-2133kh","KH031 T918 1996 ","6/6/1997","'21st century ref. dict. vol.1-2 m-z' is comprehensive reference work that offers detailed definitions, explanations, and context for wide range of terms spanning from to z. this dictionary is designed to serve as valuable resource for understanding contemporary language and concepts relevant to the 21st century, providing insights into modern usage, etymology, and relevant examples.","Dictionary, Language, Definitions, Contemporary, Etymology","Non-Fiction",,"assets/Non-Fiction.png","25","10","0000-00-00","available"
"29","21st century reference dictionary vol.12",,"589855 â589856pl","KH031 T919 1986",,"21st century reference dictionary vol.12 is comprehensive reference work that offers definitions, pronunciations, and usage notes for vast array of words and phrases. it is designed to meet the needs of modern readers and writers, providing clear and concise language guidance. the dictionary also includes updated terminology relevant to contemporary issues and advancements in technology, culture, and society.","definitions, pronunciations, usage notes, contemporary issues, technology advancements","Non-Fiction",,"assets/Non-Fiction.png","24","12","0000-00-00","available"
"30","21st century univ. ency. vol.30",,"2131kh","KH031 T918 1994",,"""21st Century Univ. Ency. Vol.30"" is a comprehensive reference guide that covers a wide array of topics relevant to the 21st century, providing in-depth information and analysis on various subjects. This volume is part of a larger encyclopedia series, offering insights into contemporary issues, advancements in technology, cultural shifts, and global developments. It serves as a valuable resource for students, educators, and anyone seeking to enhance their understanding of modern-day challenges and innovations.","21st century, technology, cultural shifts, global developments, contemporary issues","Non-Fiction",,"assets/Non-Fiction.png","12","13","0000-00-00","available"
"31","21st century univ. ency. vols. 1-29",,"2102-2130kh","KH031 T918 1994",,"'21st century univ. ency. vols. 1-29' is comprehensive encyclopedia set that covers wide range of topics relevant to the modern world. spanning 29 volumes, this collection is designed to provide detailed and up-to-date information across various fields such as science, technology, history, culture, and more. it serves as valuable resource for students, educators, and anyone seeking to expand their knowledge on contemporary subjects.","encyclopedia, modern, comprehensive, knowledge, subjects","Non-Fiction",,"assets/Non-Fiction.png","46","20","0000-00-00","available"
"32","21st century universal encyclopedia vol.1-30",,"589825 â 589854pl","KH031 T918 1996",,"the '21st century universal encyclopedia vol.1-30' is an extensive reference work that offers comprehensive information on wide range of subjects. spanning thirty volumes, this encyclopedia covers topics from science and technology to history, geography, and the arts. it is designed to provide readers with accurate and up-to-date knowledge, combining in-depth articles, illustrative charts, and vivid images to enhance understanding. ideal for students, educators, and lifelong learners, this encyclopedia serves as valuable resource for anyone seeking to expand their knowledge in the modern world.","encyclopedia, knowledge, reference, subjects, information","Non-Fiction",,"assets/Non-Fiction.png","16","20","0000-00-00","available"
"33","21st century webster int'l. encyclopedia 1-10",,"785815 â 785824pl","PL031 T918 2003","25/10/2004","the 21st century webster international encyclopedia 1-10 is comprehensive reference work that spans ten volumes, covering wide range of topics from science, history, and art to technology and culture. it provides readers with detailed articles, illustrations, and maps that offer in-depth information and insights into the subjects explored. designed to be an authoritative source of knowledge, this encyclopedia serves as valuable resource for students, educators, and anyone interested in expanding their understanding of the world.","Encyclopedia, Reference, Knowledge, Education, Information","Non-Fiction",,"assets/Non-Fiction.png","30","14","0000-00-00","available"
"34","21st century webster int'l. encyclopedia v.1-10",,"853480-853489pl","PL031 T918 2008","12/2/2010","the 21st century webster's international encyclopedia is comprehensive reference work spanning ten volumes. it offers expansive coverage of wide range of topics, including history, science, culture, and technology, providing readers with detailed and authoritative information. the encyclopedia is designed to serve as valuable resource for students, researchers, and anyone seeking to expand their knowledge on various subjects in the context of the modern world.","encyclopedia, reference, history, science, technology","Non-Fiction",,"assets/Non-Fiction.png","18","12","0000-00-00","available"
"35","30 steps to become writer getting pub.","edelstein, scott","1727kh","KH808.02 Ed27t 1993",,"30 steps to become writer getting published by scott edelstein is practical guide designed to help aspiring writers navigate the journey from idea conception to publication. the book offers step-by-step approach to developing writing skills, understanding the publishing industry, and effectively marketing one's work. edelstein provides insights into overcoming common writing challenges and emphasizes the importance of persistence and resilience in achieving writing goals.","writing skills, publishing industry, marketing, persistence, resilience","Non-Fiction",,"assets/Non-Fiction.png","48","15","0000-00-00","available"
"36","40 elocution pieces for speech training",,"805550 pl","KH 808.5 F779g 2005","8-May-06","40 elocution pieces for speech training is practical guide designed to enhance speech delivery and articulation skills. it offers diverse collection of elocution pieces, ranging from classic literature excerpts to contemporary writings, aimed at improving pronunciation, expression, and confidence in public speaking. the book serves as valuable resource for students, actors, and anyone looking to refine their verbal communication abilities.","Elocution, Speech Training, Pronunciation, Public Speaking, Communication Skills","Non-Fiction",,"assets/Non-Fiction.png","27","20","0000-00-00","available"
"37","50 bedtime stories","mckie, anne","1415kh","KH808.899282 M211f 1994",,"50 bedtime stories by anne mckie is delightful collection of short tales designed to charm and soothe young readers as they prepare for sleep. each story is crafted to spark imagination and offer gentle lessons, featuring diverse range of characters and adventures that captivate young minds. with its enchanting narratives and beautiful illustrations, this book serves as perfect nighttime companion for children and parents alike.","Bedtime, Stories, Children, Imagination, Adventures","Children",,"assets/Children.png","13","14","0000-00-00","available"
"38","50 ways to better life","sercombe, andrew","738863 pl","KH 155. Se65f 2001","21-Nov-03","50 ways to better life by andrew sercombe offers practical advice and strategies for personal development and self-improvement. the book covers variety of topics aimed at enhancing well-being, fostering positive relationships, and achieving personal goals. through actionable steps and motivational insights, sercombe guides readers on journey to create more fulfilling and balanced life.","personal development, self-improvement, well-being, positive relationships, personal goals","Non-Fiction",,"assets/Non-Fiction.png","34","12","0000-00-00","available"
"39","50 ways to better life","sercombe, andrew","739300 pl","KH 155.Se65f 2001","21-Nov-03","50 ways to better life by andrew sercombe presents collection of practical tips and strategies aimed at enhancing personal well-being and fulfillment. the book offers actionable advice on various aspects of life, including self-improvement, mental health, relationships, and productivity, encouraging readers to make positive changes and adopt healthier habits.","self-improvement, mental health, relationships, productivity, well-being","Non-Fiction",,"assets/Non-Fiction.png","23","15","0000-00-00","available"
"40","500 questions answers","mckie, anne","1416kh","KH741.642 M211f 1993",,"500 questions answers by anne mckie is an informative book designed to engage curious minds with wide array of questions spanning various subjects. each question is paired with concise and informative answer, making it an ideal resource for young readers eager to expand their knowledge across diverse topics.","questions, answers, informative, knowledge, subjects","Non-Fiction",,"assets/Non-Fiction.png","18","15","0000-00-00","available"
"41","60 zens: tips on senior citizenship","balde, jun","861929 pl","PL305.26 B1918 2009","4-Dec-10","60 zens: tips on senior citizenship by jun balde offers practical and philosophical guidance for embracing senior life with grace and wisdom. through collection of insightful tips and reflections, the book encourages seniors to find peace, purpose, and fulfillment in their later years, highlighting the importance of staying active, maintaining social connections, and nurturing positive mindset.","Senior citizenship, grace, wisdom, social connections, positive mindset","Non-Fiction",,"assets/Non-Fiction.png","35","17","0000-00-00","available"
"42","70 sa abot tanaw","guzman, g.v.","2298kh","899.2111 989p",,"70 sa abot tanaw by g.v. guzman is reflective exploration of life's journey through the eyes of septuagenarian. the book delves into themes of aging, wisdom, and the passage of time while offering insights into the personal and universal experiences of reaching the milestone age of seventy. it combines memoir and philosophical musings to provide rich tapestry of reflections on life, legacy, and the future.","Aging, Wisdom, Journey, Memoir, Legacy","Non-Fiction",,"assets/Non-Fiction.png","11","11","0000-00-00","available"
"43","70 sa abot-tanaw","guzman gloria","567935 pl","KH 899.2111 G989p 1994",,"""70 sa abot-tanaw"" by Gloria Guzman is a reflective exploration of life through the eyes of an individual approaching their 70th year. The book delves into themes of aging, wisdom, and the passage of time, offering insights into personal growth, the challenges of old age, and the beauty of lifeâs journey. Guzman combines personal anecdotes with universal truths, providing readers with a poignant and thought-provoking narrative that encourages introspection and appreciation for the moments that define our lives.","Aging, Wisdom, Reflection, Personal Growth, Life Journey","Fiction",,"assets/Fiction.png","29","10","0000-00-00","available"
"44","a.i.d.s. information prevention","ruivivar,carlos v.","3661 kh","KH616.972R859a 1994",,"a.i.d.s. information prevention by carlos v. ruivivar offers comprehensive guide on acquired immunodeficiency syndrome aids, focusing on educating readers about the disease, its transmission, and effective prevention strategies. the book aims to raise awareness and dispel myths surrounding aids, providing factual information and practical advice to help prevent the spread of the virus.","AIDS, prevention, transmission, awareness, education","Non-Fiction",,"assets/Non-Fiction.png","37","13","0000-00-00","available"
"45","abaknon of samar","alegre, joyce","D304976","PL305.89921 Alia 2009","17-Apr-15","abaknon of samar by joyce alegre explores the rich cultural heritage and traditions of the abaknon people, an indigenous group residing on capul island in the samar region of the philippines. the book delves into their unique language, customs, and way of life, highlighting the community's resilience and adaptability amidst modern challenges. through detailed ethnographic research, alegre provides comprehensive look at how the abaknon maintain their identity and cultural practices.","Abaknon, Capul Island, cultural heritage, indigenous, language","Non-Fiction",,"assets/Non-Fiction.png","16","16","0000-00-00","available"
"46","abc coloring book for kinder",,"3278kh","KH741.642 Ab26 1989",,"abc coloring book for kinder' is delightful educational tool designed for young children to learn the alphabet through engaging coloring activities. each page features letter of the alphabet accompanied by corresponding illustrations, encouraging creativity and reinforcing letter recognition.","alphabet, coloring, children, educational, illustrations","Children",,"assets/Children.png","17","20","0000-00-00","available"
"47","abortion, medicine the law",,"3401kh","KH363.46 Ad76 1992",,"abortion, medicine the law is comprehensive examination of the intersection between medical practices, legal frameworks, and ethical considerations surrounding abortion. the book delves into the historical evolution of abortion laws, the impact of medical advancements, and the ongoing debates that shape public policy and individual rights. it provides insights from legal experts, medical professionals, and ethicists to offer nuanced understanding of the complex issues at play.","abortion, medicine, law, ethics, public policy","Law",,"assets/Law.png","44","19","0000-00-00","available"
"48","abot mo ba ang tainga mo?","abad, heidi emily","759489/759478pl","KH899.2113 Ab13a 2001","21-Nov-03 & 25-Oct-04","abot mo ba ang tainga mo? is children's book that explores themes of self-discovery and acceptance. through playful illustrations and engaging storytelling, the book encourages young readers to embrace their unique features and celebrate individuality. the narrative follows curious child as they embark on journey of understanding and appreciating their own body, ultimately teaching the importance of self-love and confidence.","self-discovery, acceptance, individuality, self-love, confidence","Children",,"assets/Children.png","23","12","0000-00-00","available"
"49","above the throng","orosa, rosalinda","3645kh","KH709.2 Or6a 1980",,"""Above the Throng"" by Rosalinda Orosa explores the life and legacy of a prominent cultural figure in the Philippines, highlighting their contributions to the arts and society. Through a rich narrative, Orosa delves into themes of passion, influence, and resilience, painting a vivid portrait of a life dedicated to uplifting cultural values and inspiring future generations.","Philippines, cultural figure, arts, influence, resilience","Art & Media",,"assets/Art & Media.png","26","12","0000-00-00","available"
"50","accountability and performance","tantuico, francisco jr","716333/716928pl","Kh685.3128 T159a 1994","16-Nov-01","accountability and performance by francisco jr. tantuico explores the intricate relationship between accountability mechanisms and performance outcomes in public sector organizations. the book delves into the challenges and strategies of implementing effective accountability frameworks to enhance organizational efficiency and service delivery. it emphasizes the importance of transparency, ethical standards, and performance metrics in fostering responsible governance.","accountability, performance, public sector, transparency, governance","Non-Fiction",,"assets/Non-Fiction.png","45","14","0000-00-00","available"
"51","accounting for non-accountants: text cases","cruz, daniel","3709kh","KH657 C889a 1993",,"accounting for non-accountants: text cases by daniel cruz is designed to introduce fundamental accounting principles to those without background in the field. it simplifies complex accounting concepts and provides practical examples and case studies to enhance understanding. this book is ideal for students and professionals seeking to grasp essential accounting skills for personal or business use.","Accounting, Fundamentals, Case Studies, Non-Accountants, Practical Examples","Non-Fiction",,"assets/Non-Fiction.png","49","14","0000-00-00","available"
"52","across the mullarbor","cowley, joy","303kh","KH808.899282 C839a 1994",,"""Across the Nullarbor"" by Joy Cowley is a captivating tale set in the heart of Australia, following the journey of characters traversing the vast and iconic Nullarbor Plain. Through vivid storytelling, Cowley explores themes of adventure, self-discovery, and the resilience of the human spirit against the backdrop of this remote and challenging landscape. The narrative is rich with cultural and environmental insights, offering readers an immersive experience of Australia's natural beauty and the unique challenges it presents.","Nullarbor Plain, adventure, self-discovery, resilience, Australia","Fiction",,"assets/Fiction.png","13","19","0000-00-00","available"
"53","action guides for corporate legal mgt.","tabios, severiano s.","3920kh","KH346.599066 T113a 1991",,"action guides for corporate legal management by severiano s. tabios offers practical insights and strategies for effectively managing legal affairs within corporate setting. the book provides comprehensive guidance on navigating legal complexities, optimizing legal processes, and ensuring compliance with relevant regulations, making it an essential resource for corporate legal professionals seeking to enhance their management skills.","Corporate legal management, legal processes, compliance, legal strategies, corporate legal professionals","Law",,"assets/Law.png","11","12","0000-00-00","available"
"54","action guides for tax management; revised nir code annotated","tabios, severiano s.","3918kh","KH  343.59904 T113a 1994 vol. 2",,"action guides for tax management; revised nir code annotated by severiano s. tabios is comprehensive resource aimed at providing practical guidance on effective tax management. the book offers detailed annotations and interpretations of the revised national internal revenue code, helping readers understand its complexities. it serves as valuable tool for tax professionals, accountants, and business owners, offering insights into compliance, planning, and strategic tax decision-making.","Tax management, NIR code, annotations, compliance, strategic planning","Non-Fiction",,"assets/Non-Fiction.png","15","18","0000-00-00","available"
"55","action guides for tax management; revised nir code annotated","tabios,severiano s.","3919kh","KH  343.59904 T113a 1994 vol. 3",,"action guides for tax management; revised nir code annotated by severiano s. tabios is comprehensive resource designed to assist individuals and businesses in navigating tax regulations. the book provides detailed annotations of the national internal revenue nir code, offering practical guidance for effective tax management and compliance. it includes actionable strategies and insights to help readers understand complex tax laws and implement efficient tax practices.","Tax management, NIR code, annotations, compliance, tax strategies","Non-Fiction",,"assets/Non-Fiction.png","13","13","0000-00-00","available"
"56","action guides for tax management; revised nir code annotated","tabios, severiano s.","3917kh","KH 343.59904 T113a 1994 vol. 1",,"action guides for tax management; revised nir code annotated by severiano s. tabios is an essential resource for tax professionals and individuals interested in mastering tax management strategies. the book provides comprehensive analysis of the national internal revenue code, offering practical insights, detailed annotations, and actionable guidance to navigate the complexities of tax regulations effectively.","Tax management, National Internal Revenue Code, Annotations, Tax regulations, Practical insights","Non-Fiction",,"assets/Non-Fiction.png","38","12","0000-00-00","available"
"57","adamson university: history 1932-1992","dela goza, rolando s.","195kh","Kh378.59912 D371a 1993","6-Jun-97","adamson university: history 1932-1992 by rolando s. dela goza chronicles the development and growth of adamson university over its first 60 years. the book details its founding, key figures, challenges faced, and achievements in providing quality education. it highlights the institution's role in philippine education and its commitment to academic excellence and community service.","Adamson University, history, education, Philippines, development","History",,"assets/History.png","27","20","0000-00-00","available"
"58","addition subtraction",,"4582kh","No call number","5/11/1998","""Addition Subtraction"" is a book that explores the fundamental concepts of mathematics, focusing on the basic operations of addition and subtraction. It delves into their practical applications, historical development, and significance in everyday life. Through engaging examples and clear explanations, the book aims to enhance the reader's understanding and appreciation of these essential mathematical skills.","addition, subtraction, mathematics, operations, applications","Non-Fiction",,"assets/Non-Fiction.png","35","11","0000-00-00","available"
"59","addition subtraction",,"3167kh",,"5/11/1998","addition subtraction is an educational book designed to help young learners grasp the fundamental concepts of arithmetic. through engaging exercises and illustrative examples, the book teaches children how to perform addition and subtraction, building strong foundation for future mathematical learning. it fosters problem-solving skills and numerical understanding in an approachable manner.","addition, subtraction, arithmetic, problem-solving, educational","Children",,"assets/Children.png","43","19","0000-00-00","available"
